Cliente_Codigo,Tipo_Cliente,Observacao
010007,,Cadastro possui lojas com tipos diferentes; preencher Revendedor ou Consumidor Final após validar a loja da venda
001756,,Cadastro possui lojas com tipos diferentes; preencher Revendedor ou Consumidor Final após validar a loja da venda
